2017JD  theta1  r1  theta2  r2 theta3 r3
291 73.366807 0.403713 59.746884 0.099351 97.244178 0.341646
292 73.257623 0.406660 51.301358 0.100808 97.539606 0.334792
293 73.959138 0.401310 40.352841 0.109183 97.492032 0.321019
294 74.075595 0.398967 30.585715 0.116641 95.620992 0.304658
295 74.484384 0.396203 21.772452 0.128599 93.902579 0.292213
296 74.794468 0.390292 14.216452 0.136103 90.639499 0.284789
297 74.887659 0.386387 7.050401 0.143105 86.409894 0.281145
298 74.893877 0.380206 3.458794 0.147396 82.845936 0.280772
299 75.338610 0.372596 1.155035 0.151058 78.545179 0.281225
300 75.129476 0.366458 1.791101 0.150373 75.507277 0.285725
301 74.781792 0.362531 4.852180 0.145504 73.321265 0.293068
302 73.872874 0.361280 7.953237 0.134807 71.259098 0.299908
303 72.903118 0.360218 11.413787 0.120368 69.322076 0.310347
304 71.997031 0.355873 20.383852 0.110699 68.020205 0.313981
305 71.304964 0.350996 36.327536 0.100413 67.954080 0.316511
306 70.718908 0.345724 50.704640 0.104963 68.354622 0.313668
307 70.343451 0.337335 60.746287 0.116621 69.057205 0.305669
308 69.646058 0.332022 72.856808 0.129614 69.965464 0.305032
309 68.857273 0.326708 79.127438 0.137707 70.979700 0.300915
310 66.946939 0.320251 84.873895 0.156970 71.978645 0.293722
311 66.004073 0.317395 88.888348 0.176668 74.781914 0.289159
312 64.644616 0.313412 89.296782 0.192289 76.953500 0.281622
313 63.221282 0.315335 91.639059 0.209331 79.754009 0.278634
314 63.065489 0.318852 91.299497 0.217386 81.745817 0.278470
315 63.129464 0.323792 89.601245 0.223075 83.931642 0.275381
316 63.600877 0.328649 88.789449 0.227321 84.850775 0.266667
317 65.472224 0.336014 87.209391 0.226656 86.594099 0.265872
318 67.510575 0.343907 83.537757 0.217084 86.881023 0.269342
319 69.385907 0.353687 80.015985 0.206015 86.185368 0.276715
320 71.622034 0.365661 76.363191 0.192563 85.956217 0.283680
321 73.036514 0.376685 73.576309 0.181785 86.066358 0.295532
322 73.832506 0.374574 72.463181 0.175719 85.428670 0.302264
323 74.019217 0.371239 72.375334 0.170842 83.947209 0.306751
324 73.917469 0.366120 75.530876 0.168215 82.950638 0.312896
325 73.600961 0.359169 78.704940 0.171882 82.522146 0.317709
326 72.742017 0.355474 83.095829 0.174654 82.030524 0.320567
327 72.361489 0.349594 88.121103 0.184219 81.704002 0.321317
328 71.586947 0.343720 92.121423 0.194503 81.121165 0.323332
329 71.216516 0.343502 96.423292 0.200250 80.688604 0.333598
330 70.696222 0.335761 99.958479 0.211207 79.835348 0.331339
331 69.957470 0.329927 100.781035 0.225895 78.963826 0.329540
332 69.567965 0.324872 100.883581 0.236344 78.459861 0.325757
333 68.667489 0.321598 99.603484 0.250062 78.227966 0.319474
334 68.532790 0.314974 96.202067 0.257786 77.688062 0.309553
335 69.056350 0.313528 96.366761 0.263747 78.114542 0.307371
336 69.675560 0.307436 92.704745 0.274851 78.511801 0.301507
337 70.287643 0.297994 91.800350 0.284560 78.259151 0.287151
338 71.541763 0.296244 91.571205 0.284107 78.717815 0.288295
339 72.802464 0.289263 91.282782 0.293699 79.223372 0.277875
340 73.583286 0.288626 90.053164 0.296370 78.920239 0.274662
341 74.697518 0.282657 87.682527 0.300286 79.990681 0.265522
342 75.910952 0.283407 84.847023 0.299086 80.740656 0.265066
343 76.536605 0.281928 83.352657 0.301016 81.156007 0.263981
344 77.095449 0.279307 83.901283 0.301200 82.624711 0.265569
345 76.799490 0.277009 84.528691 0.299432 83.367133 0.268485
346 75.417068 0.277332 83.796158 0.306618 84.898672 0.269565
347 74.594650 0.272915 84.987727 0.309549 86.247825 0.270327
348 73.317669 0.272475 85.904796 0.315100 87.806137 0.271304
349 71.451757 0.270232 86.954163 0.319141 89.356840 0.269593
350 69.613904 0.268622 87.924593 0.319207 90.786498 0.267990
351 68.209076 0.267972 89.040452 0.322008 92.319071 0.264371
352 67.987447 0.265971 90.162792 0.322041 93.172225 0.261684
353 67.117551 0.267995 90.263448 0.318616 93.002991 0.260555
354 67.901939 0.269866 89.973914 0.307495 93.047204 0.258749
355 68.426851 0.270766 90.884437 0.299306 92.651242 0.256026
356 69.259734 0.272081 89.825839 0.287859 92.659490 0.253642
357 69.997014 0.273708 88.956733 0.274613 92.537723 0.249349
358 71.162005 0.278083 88.163056 0.259786 93.574552 0.248302
359 72.321440 0.282972 87.118922 0.247846 94.763457 0.245887
360 73.537476 0.290356 85.249754 0.232664 95.242681 0.245979
361 74.940347 0.295189 82.700618 0.218765 96.762181 0.246045
362 75.883958 0.299167 80.822637 0.212049 98.741512 0.245338
363 76.790368 0.307072 77.581118 0.202818 101.011508 0.249768
364 77.413932 0.311267 75.284063 0.200569 103.809974 0.250192
365 78.137362 0.316375 72.666339 0.191350 103.959629 0.254362
